id,title,username,type,members_count,can_send_messages,language
,Mt4 Mt5 Forex account manager,Dubaifx1111,supergroup,20944,True,en
,Seed Phrase Recovery Software,seedphraserecovery1,supergroup,20893,True,en
,SOLARIAN TECH. Chat! ☀️🌞,solariantechgroup,supergroup,20843,True,en
,Habitat Official Coin | $HABITAT,habitatsol,supergroup,20734,True,en
,SpireX Official Group,SpireX_Exchange,supergroup,20642,True,en
,yield farming,Etheryieldfarming,supergroup,20592,True,en
,❤️Jackpot Spin WIN WIN🇲🇾🎰,PastimenangMclub,supergroup,20592,True,en
,DotCom - Old Group Market,DotComGC,supergroup,20429,True,en
,PL Forex Signals Group Trial,plforexlounge,supergroup,20425,True,en
,Neo Smart Economy (Official),NEO_EN,supergroup,20256,True,en
,矿池联盟 (Mining Pool Alliance),MiningPoolAlliancempa,supergroup,20184,True,en
,Web3,hashtagweb3,supergroup,20108,True,en
,FOREX TRADING MONEY INVESTMENT 💸,Forex_tradingk,supergroup,20084,True,en
,The Landlord Game,thelandlordgame,supergroup,20009,True,en
,Solution spark { Discussion },Solutionspark02,supergroup,19680,True,en
,GMK 2.0 Family 🔥,noobiegmktelegram,supergroup,19507,True,en
,Costsco Group,costsco,supergroup,19344,True,en
,BIGGEST CASINO ONLINE🇦🇺,BIGGESTCASINOAU,supergroup,19224,True,en
,Forex Crypto Leads Traffic Solutions,aff_tax,supergroup,19159,True,en
,PiggyLand_Chat,PiggyLand_chat,supergroup,18967,True,en
,Chain,Chain,supergroup,18595,True,en
,PRIZE AI Technologies ($PRIZE) Official,PrizeAiTech,supergroup,18572,True,en
,TOSS MAFIYA,Toss_Mafiya_3rd_Umpire_Jupiter,supergroup,18565,True,en
,Aave Fam (Verified)| Official Announcements,Aavesome,supergroup,18551,True,en
,C/C++ Programming,programminginc,supergroup,18395,True,en
,Scopuly - Stellar DeFi Platform,scopuly,supergroup,18345,True,en
,DAPPOS MOON🌕(token not launched yet),DapposOfficial,supergroup,18290,True,en
,Neural Networks Forum,neuralforum,supergroup,18018,True,en
,Animal Concerts,animalconcertsofficial,supergroup,17953,True,en
,The Graph: Official Announcements,GraphProtocol,supergroup,17932,True,en
,Telegram X: Themes,tgx_perfection,supergroup,17794,True,en
,Crypto market crash in,csvbkgsivc5221612,supergroup,17781,True,en
,English Conversationalist Group🌴,ecg001,supergroup,17726,True,en
,Dragon Vs Tiger Prediction,slotgame777king,supergroup,17634,True,en
,🙏🙏 Commodity Family Group 🙏🙏,commoditygroup1245,supergroup,17585,True,en
,Asigna Wallet Multisig Official,asignawallet_asignaio,supergroup,17568,True,en
,Planet ReFi,PlanetReFi,supergroup,17424,True,en
,THORChain Community,thorchainofficialgroup,supergroup,17303,True,en
,Crypto market crash in,gubuuffygcv,supergroup,17268,True,en
